epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51.9341,0.52203,0.84946,1,0.36189,0.000554571,0.000554571,0.000554571
2,93.1287,0.40949,0.88746,1,0.2772,0.00100032,0.00100032,0.00100032
3,129.679,0.38354,0.88549,1,0.32879,0.00133606,0.00133606,0.00133606
4,164.95,0.35856,0.89684,1,0.25656,0.0011719,0.0011719,0.0011719
5,201.317,0.34063,0.88154,1,0.28961,0.00100687,0.00100687,0.00100687
6,237.171,0.3253,0.91115,1,0.22086,0.000841835,0.000841835,0.000841835
7,272.776,0.30968,0.91115,1,0.2108,0.000676802,0.000676802,0.000676802
8,308.493,0.29889,0.90326,1,0.2363,0.000511769,0.000511769,0.000511769
9,346.767,0.27763,0.91955,1,0.20041,0.000346736,0.000346736,0.000346736
10,382.274,0.27637,0.91609,1,0.20245,0.000181703,0.000181703,0.000181703
