epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,45.164,0.5088,0.85933,1,0.32923,0.000553479,0.000553479,0.000553479
2,77.0401,0.39629,0.88351,1,0.28872,0.00103594,0.00103594,0.00103594
3,151.272,0.37829,0.88549,1,0.27845,0.00144506,0.00144506,0.00144506
4,177.699,0.34489,0.90671,1,0.23236,0.00133693,0.00133693,0.00133693
5,203.856,0.32179,0.89585,1,0.24441,0.00122691,0.00122691,0.00122691
6,229.871,0.30819,0.90178,1,0.22871,0.00111689,0.00111689,0.00111689
7,255.385,0.30424,0.90474,1,0.22852,0.00100687,0.00100687,0.00100687
8,281.032,0.29101,0.90375,1,0.21912,0.000896846,0.000896846,0.000896846
9,306.968,0.28251,0.91757,1,0.20533,0.000786824,0.000786824,0.000786824
10,333.086,0.26892,0.91066,1,0.21208,0.000676802,0.000676802,0.000676802
11,361.446,0.25895,0.91658,1,0.21086,0.00056678,0.00056678,0.00056678
12,391.137,0.25239,0.92349,1,0.19675,0.000456758,0.000456758,0.000456758
13,421.289,0.24962,0.92004,1,0.19663,0.000346736,0.000346736,0.000346736
14,450.235,0.24075,0.91362,1,0.20051,0.000236714,0.000236714,0.000236714
15,476.064,0.23659,0.92251,1,0.1909,0.000126692,0.000126692,0.000126692
