epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.2762,0.5273,0.84452,1,0.35991,0.000553479,0.000553479,0.000553479
2,60.874,0.39818,0.88401,1,0.26463,0.00099934,0.00099934,0.00099934
3,86.437,0.34911,0.89536,1,0.27416,0.00133518,0.00133518,0.00133518
4,111.742,0.33628,0.89783,1,0.25319,0.0011719,0.0011719,0.0011719
5,136.854,0.31693,0.87907,1,0.27121,0.00100687,0.00100687,0.00100687
6,162.096,0.30151,0.91313,1,0.20456,0.000841835,0.000841835,0.000841835
7,187.117,0.28998,0.91461,1,0.20438,0.000676802,0.000676802,0.000676802
8,211.763,0.27109,0.90622,1,0.22407,0.000511769,0.000511769,0.000511769
9,236.211,0.25879,0.92004,1,0.19755,0.000346736,0.000346736,0.000346736
10,261.285,0.25625,0.92053,1,0.19635,0.000181703,0.000181703,0.000181703
