epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.5508,0.50107,0.86032,1,0.32852,0.000553479,0.000553479,0.000553479
2,68.6831,0.36828,0.88845,1,0.28467,0.00099934,0.00099934,0.00099934
3,96.8109,0.33685,0.90721,1,0.25657,0.00133518,0.00133518,0.00133518
4,123.7,0.32692,0.91461,1,0.22577,0.0011719,0.0011719,0.0011719
5,151.52,0.29499,0.90671,1,0.23055,0.00100687,0.00100687,0.00100687
6,180.13,0.2739,0.91609,1,0.20716,0.000841835,0.000841835,0.000841835
7,208.255,0.26674,0.90721,1,0.20567,0.000676802,0.000676802,0.000676802
8,236.102,0.24517,0.92646,1,0.18797,0.000511769,0.000511769,0.000511769
9,264.054,0.22449,0.92053,1,0.20209,0.000346736,0.000346736,0.000346736
10,291.222,0.21956,0.92349,1,0.185,0.000181703,0.000181703,0.000181703
