epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51.7374,1.24454,0.69891,0.99457,0.82845,0.000332676,0.000332676,0.000332676
2,92.2205,0.90326,0.72014,0.99605,0.75689,0.000600074,0.000600074,0.000600074
3,128.768,0.83526,0.74926,0.99753,0.65362,0.000801473,0.000801473,0.000801473
4,164.898,0.79996,0.7922,0.99556,0.58482,0.000703,0.000703,0.000703
5,202.131,0.73316,0.78825,0.99704,0.56869,0.000604,0.000604,0.000604
6,238.097,0.70525,0.79368,0.99803,0.54148,0.000505,0.000505,0.000505
7,273.106,0.6761,0.80701,0.99803,0.52509,0.000406,0.000406,0.000406
8,308.132,0.66018,0.81343,0.99753,0.51177,0.000307,0.000307,0.000307
9,344.078,0.6235,0.81885,0.99704,0.50038,0.000208,0.000208,0.000208
10,379.613,0.59995,0.82182,0.99901,0.47702,0.000109,0.000109,0.000109
