epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.7616,1.30456,0.69398,0.99358,0.8419,0.000332021,0.000332021,0.000332021
2,61.7999,0.87579,0.75025,0.99309,0.7028,0.000621441,0.000621441,0.000621441
3,87.5433,0.80806,0.76209,0.99852,0.66431,0.000866861,0.000866861,0.000866861
4,114.119,0.73698,0.77295,0.99753,0.61732,0.000802,0.000802,0.000802
5,138.932,0.69607,0.79566,0.99704,0.56714,0.000736,0.000736,0.000736
6,165.168,0.65367,0.78973,0.99654,0.55105,0.00067,0.00067,0.00067
7,190.15,0.64533,0.80652,0.99803,0.53336,0.000604,0.000604,0.000604
8,216.977,0.60577,0.80849,0.99852,0.49918,0.000538,0.000538,0.000538
9,246.051,0.58846,0.81244,0.99753,0.48797,0.000472,0.000472,0.000472
10,276.056,0.57095,0.81836,0.99901,0.48559,0.000406,0.000406,0.000406
11,304.346,0.54028,0.81836,0.99852,0.47722,0.00034,0.00034,0.00034
12,331.506,0.53478,0.81589,0.99852,0.47003,0.000274,0.000274,0.000274
13,357.682,0.50969,0.82577,0.99852,0.45311,0.000208,0.000208,0.000208
14,383.877,0.49518,0.83021,0.99901,0.45159,0.000142,0.000142,0.000142
15,409.073,0.48453,0.83268,0.99901,0.44236,7.6e-05,7.6e-05,7.6e-05
