epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,38.2842,1.24273,0.72458,0.99408,0.77594,0.000332021,0.000332021,0.000332021
2,69.1023,0.81585,0.74926,0.99704,0.67831,0.000599484,0.000599484,0.000599484
3,96.0136,0.72912,0.77443,0.99753,0.61325,0.000800948,0.000800948,0.000800948
4,122.618,0.68931,0.78973,0.99753,0.57698,0.000703,0.000703,0.000703
5,149.914,0.62415,0.80553,0.99753,0.52879,0.000604,0.000604,0.000604
6,176.941,0.57854,0.83268,0.99901,0.47205,0.000505,0.000505,0.000505
7,204.763,0.53362,0.82873,0.99852,0.49819,0.000406,0.000406,0.000406
8,231.872,0.50615,0.84107,0.99803,0.43471,0.000307,0.000307,0.000307
9,258.987,0.48407,0.83564,0.99901,0.43185,0.000208,0.000208,0.000208
10,285.512,0.44365,0.846,0.99852,0.40697,0.000109,0.000109,0.000109
