epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.1464,1.30045,0.69003,0.99457,0.83528,0.000332021,0.000332021,0.000332021
2,62.6299,0.88053,0.72902,0.99457,0.75412,0.000599484,0.000599484,0.000599484
3,87.0857,0.78185,0.769,0.99852,0.62193,0.000800948,0.000800948,0.000800948
4,110.466,0.73849,0.79911,0.99852,0.58243,0.000703,0.000703,0.000703
5,133.743,0.67435,0.80306,0.99852,0.54974,0.000604,0.000604,0.000604
6,156.049,0.64571,0.80109,0.99951,0.52255,0.000505,0.000505,0.000505
7,179.394,0.62088,0.81589,0.99852,0.51121,0.000406,0.000406,0.000406
8,203.435,0.6025,0.81935,0.99901,0.49355,0.000307,0.000307,0.000307
9,227.954,0.566,0.82428,0.99951,0.48061,0.000208,0.000208,0.000208
10,253.031,0.54425,0.82379,1,0.47685,0.000109,0.000109,0.000109
